bigg	name	super_class	class	sub_class
ach	Acetylcholine	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
acmanap	N-Acetyl-D-mannosamine 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acmum	N-Acetylmuramate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acnam	N-Acetylneuraminic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acngalacglcgal14acglcgalgluside_cho	VI3NeuAc-nLc6Cer	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
acon_C	cis-Aconitic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
acon_T	trans-Aconitic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
acorn	N-Acetylornithine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
acryl	Acrylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Acrylic acids and derivatives
acser	O-Acetylserine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
actp	Acetylphosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
ad	Acetamide	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
ade	Adenine	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives
adn	Adenosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	
adocbi	Adenosyl cobinamide	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives
adocbip	Adenosyl cobinamide phosphate	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives
adocbl	Adenosylcobalamin	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives
adp	ADP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
adpglc	ADP-glucose	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine nucleotide sugars
adpglc	ADP Alpha-D-glucoside(2-)	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine nucleotide sugars
aflbala	alpha-Fluoro-beta-alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
aflburppa	alpha-Fluoro-beta-ureidopropionic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Alpha-halocarboxylic acids and derivatives
ag	Silver	Homogeneous metal compounds	Homogeneous transition metal compounds	
agdpcbi	Adenosylcobinamide-GDP	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides
agm	Agmatine	Organic nitrogen compounds	Organonitrogen compounds	Guanidines
ahandrostan	Etiocholanolone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids
ahcys	S-Adenosylhomocysteine	Nucleosides, nucleotides, and analogues	5'-deoxyribonucleosides	5'-deoxy-5'-thionucleosides
aicar	AICAR	Nucleosides, nucleotides, and analogues	Imidazole ribonucleosides and ribonucleotides	1-ribosyl-imidazolecarboxamides
air	5-amino-1-(5-phosphonato-D-ribosyl)imidazol-3-ium	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
akg	Oxoglutaric acid	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives
ala_B	beta-Alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ala_L_phe__L	Alanyl-Phenylalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ala__D	D-Alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ala__L	L-Alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
alaala	D-Alanyl-D-alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
alac__S	(S)-2-Acetolactate	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
alltn	Allantoin	Organoheterocyclic compounds	Azoles	Imidazoles
alltt	Allantoic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
alpam	S-aminomethyldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides
am6sa	2-Aminomuconic acid semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
amet	S-Adenosylmethionine	Nucleosides, nucleotides, and analogues	5'-deoxyribonucleosides	5'-deoxy-5'-thionucleosides
ametam	S-Adenosylmethioninamine	Nucleosides, nucleotides, and analogues	5'-deoxyribonucleosides	5'-deoxy-5'-thionucleosides
amp	Adenosine monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
amuco	2-Aminomuconic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ans	Anserine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
anth	2-Aminobenzoic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
ap4a	Diadenosine tetraphosphate	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides	
ap4a	P1,P4-Bis(5'-adenosyl) tetraphosphate	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides	
appl	1-Amino-propan-2-ol	Organic nitrogen compounds	Organonitrogen compounds	Amines
aproa	3-Aminopropionaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
aproa	3-amino-propanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
aprut	N-Acetylputrescine	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
aprut	N-Acetylputrescinium	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
aps	Adenosine phosphosulfate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
ara5p	D-Arabinose 5-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
arab__L	L-Arabinose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
arach	Arachidic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
arbt	Arbutin	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
arbtn_fe3	Aerobactin	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
arg__D	D-Arginine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
arg__L	L-Arginine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
arg__L	L-argininium(1+)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ascb__L	Ascorbic acid	Organoheterocyclic compounds	Dihydrofurans	Furanones
asn__L	L-Asparagine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
aso3	Arsenite	Inorganic compounds	Mixed metal/non-metal compounds	Miscellaneous mixed metal/non-metals
aso4	Arsenate	Mixed metal/non-metal compounds	Miscellaneous mixed metal/non-metals	Miscellaneous metallic oxoanionic compounds
asp__D	D-Aspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
aspsa	L-Aspartate-semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
athr__L	L-Allothreonine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
athtp	Adenosine thiamine triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
atp	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
atrz	Atrazine	Organoheterocyclic compounds	Triazines	1,3,5-triazines
avite1	alpha-Tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
b124tc	(Z)-But-1-ene-1,2,4-tricarboxylate	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
hacon_C	(Z)-But-1-ene-1,2,4-tricarboxylate	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
b2coa	Crotonoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
b2coa	(E)-but-2-enoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
b2coa	(2E)-Butenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
bcryptox	beta-Cryptoxanthin	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
bdg2hc	cis-beta-D-Glucosyl-2-hydroxycinnamate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
benzcoa	Benzoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
betald	Betaine aldehyde	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
bgly	N-benzoylglycinate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
bhb	(R)-3-Hydroxybutyric acid	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
bilirub	Bilirubin	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives
biliverd	Biliverdin	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Bilirubins
btal	Butanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
btcoa	Butyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
btn	Biotin	Organoheterocyclic compounds	Biotin and derivatives	
bvite	Beta-tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
bz	Benzoic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
bzal	Benzaldehyde	Benzenoids	Benzene and substituted derivatives	Benzoyl derivatives
bzalc	Benzyl alcohol	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols
bzsucc	(R)-2-Benzylsuccinate	Phenylpropanoids and polyketides	Phenylpropanoic acids	
c4crn	Butyrylcarnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
c4dc	Succinylcarnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
ca2	Calcium	Homogeneous metal compounds	Homogeneous alkaline earth metal compounds	
cala	Ureidopropionic acid	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas
cala	N-carbamoyl-beta-alaninate	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas
camp	Cyclic AMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Cyclic purine nucleotides
caphis	2-(3-Carboxy-3-aminopropyl)-L-histidine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
caro	B-Carotene	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
carveol	Carveol	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids
cat	Calcitriol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
catechol	Pyrocatechol	Benzenoids	Phenols	Benzenediols
cbasp	Ureidosuccinic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cbl1	Cob(I)alamin	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Corrinoids
cbm	Carbamic acid	Organic acids and derivatives	Organic carbonic acids and derivatives	
cbp	Carbamoyl phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	
ccmuac	cis,cis-Muconic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
cd2	Cadmium	Homogeneous metal compounds	Homogeneous transition metal compounds	
cdp	CDP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
cdpchol	Citicoline	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
cdpea	CDP-Ethanolamine	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
cdpglc	CDP-glucose	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
cdpglyc	CDP-glycerol	Lipids and lipid-like molecules	Glycerophospholipids	CDP-glycerols
cellb	Cellobiose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
cgly	Cysteinylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ch4	Methane	Hydrocarbons	Saturated hydrocarbons	Alkanes
ch4s	Methanethiol	Organosulfur compounds	Thiols	Alkylthiols
chito2pdol	N,N'-Diacetylchitobiosyldiphosphodolichol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
chitos	Chitosan	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
chlb	Chlorophyll b	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Chlorins
chol	Choline	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
cholate	Cholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
cholp	Phosphorylcholine	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
chor	Chorismate	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
chsterol	Cholesterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids
chtn	Chitin	Organic compounds	Organic oxygen compounds	Organooxygen compounds
cinnm	Cinnamic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Cinnamic acids
cinnm	trans-Cinnamic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Cinnamic acids
cit	Citric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
citac	Citraconic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
cital	Citalopram	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines
citalald	Citalopram aldehyde	Organoheterocyclic compounds	Isocoumarans	
citalo	Citalopram N-oxide	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines
citalppa	Citalopram propionic acid	Organoheterocyclic compounds	Isocoumarans	
citm	Citramalic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
cl	Chloride ion	Homogeneous non-metal compounds	Homogeneous halogens	
cl	Hydrochloric acid	Homogeneous non-metal compounds	Halogen organides	Halogen hydrides
clpn160	CL(16:0/16:0/16:0/16:0)	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerophosphoglycerols
cm	Chloramphenicol	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes
cmaphis	2-(3-Carboxy-3-(methylammonio)propyl)-L-histidine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cmp	Cytidine monophosphate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
cmpacna	Cytidine monophosphate N-acetylneuraminic acid	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
cmpglna	CMP-N-glycoloylneuraminate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
cmpglna	CMP-N-glycoloyl-beta-neuraminate(2-)	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
cmusa	2-Amino-3-carboxymuconic acid semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cmusa	Cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
co	Carbon monoxide	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	
co1dam	Cob(I)yrinate a,c diamide	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Corrinoids
co2	Carbon dioxide	Homogeneous non-metal compounds	Other non-metal organides	Other non-metal oxides
coa	Coenzyme A	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
confrl	Coniferyl alcohol	Benzenoids	Phenols	Methoxyphenols
coucoa	4-Coumaroyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
coumarin	Coumarin	Phenylpropanoids and polyketides	Coumarins and derivatives	
cph4	6-Carboxy-5,6,7,8-tetrahydropterin	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
cpmp	Cyclic pyranopterin monophosphate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
cpp3	Coproporphyrin III	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Porphyrins
cpppg1	Coproporphyrinogen I	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Porphyrins
cpppg3	Coproporphyrinogen III	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Porphyrins
creat	Creatinine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
crn	L-Carnitine	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
crn__D	(S)-carnitinium	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
crpxan	Alpha-Cryptoxanthin	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
csn	Cytosine	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
ctp	Cytidine triphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
cyan	Hydrogen cyanide	Organic nitrogen compounds	Organonitrogen compounds	Organic cyanides
cyart	Cycloartenol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives
cynt	Cyanate	Organic compounds	Organic oxygen compounds	Organic oxoanionic compounds
cys__D	D-Cysteine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cys__L	L-Cysteine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cysam	Cysteamine	Organosulfur compounds	Thiols	Alkylthiols
cysi__L	L-Cystine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cyst__L	L-Cystathionine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
cytd	Cytidine	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	
dad_2	Deoxyadenosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides
dad_5	5'-Deoxyadenosine	Nucleosides, nucleotides, and analogues	5'-deoxyribonucleosides	
dadp	dADP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
damp	Deoxyadenosine monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
datp	Deoxyadenosine triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
dc2coa	(2E)-Decenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
dcacoa	Decanoyl-CoA (n-C10:0CoA)	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
dcal	Decanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
dcamp	Adenylsuccinic acid	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
dcamp	N(6)-(1,2-dicarboxyethyl)AMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
dcaro	delta-Carotene	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
dcdp	dCDP	Organic oxygen compounds	Organic oxoanionic compounds	Organic pyrophosphates
dchac	Deoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
dcholcoa	Chenodeoxycholoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
dcmp	dCMP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dctp	dCTP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dcyt	Deoxycytidine	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine 2'-deoxyribonucleosides
dd2coa	Trans-2,3-dehydrododecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
trans_dd2coa	Trans-2,3-dehydrododecanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
ddcacoa	Lauroyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
ddcal	Lauric aldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
ddmcital	Didemethylcitalopram	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines
debrisoquine	Debrisoquine	Organoheterocyclic compounds	Tetrahydroisoquinolines	
decdp	all-trans-Decaprenyl diphosphate	Lipids and lipid-like molecules	Prenol lipids	Polyprenols
dedoldp	Dehydrodolichol diphosphate	Lipids and lipid-like molecules	Prenol lipids	Polyprenols
dextrin	Dextrin	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dgdp	dGDP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
dgsn	Deoxyguanosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides
dgtp	dGTP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
dha	Dihydroxyacetone	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dhap	Dihydroxyacetone phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dhcinnm	(E)-3-(2,3-Dihydroxyphenyl)-2-propenoic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
dhcrm_cho	Dihydroceramide	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
dheas	Dehydroepiandrosterone sulfate	Lipids and lipid-like molecules	Steroids and steroid derivatives	Sulfated steroids
dhf	Dihydrofolic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
dhlam	Dihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides
dhmtp	1,2-Dihydroxy-3-keto-5-methylthiopentene	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
dhnpthld	1,2-Dihydronaphthalene-1,2-diol	Benzenoids	Naphthalenes	
dhor__S	L-Dihydroorotic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
dhpmp	Dihydroneopterin phosphate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
dhptdn	Dihydropteridine	Organoheterocyclic compounds	Pteridines and derivatives	
dhretinol	All-trans-13,14-dihydroretinol	Lipids and lipid-like molecules	Prenol lipids	Retinoids
diact	Diacetyl	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
didp	dIDP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
dimp	dIMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine deoxyribonucleotides
din	Deoxyinosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides
dkmpp	5-(Methylthio)-2,3-dioxopentyl phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
dma	Dimethylamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
dmcital	N-Desmethylcitalopram	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines
dmcital	Desmethylcitalopram	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines
dmgly	Dimethylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
dmlz	6,7-Dimethyl-8-(1-D-ribityl)lumazine	Organoheterocyclic compounds	Pteridines and derivatives	
dmpp	Dimethylallylpyrophosphate	Lipids and lipid-like molecules	Prenol lipids	Isoprenoid phosphates
dms	Dimethylsulfide	Organosulfur compounds	Thioethers	Dialkylthioethers
dmso	Dimethyl sulfoxide	Organosulfur compounds	Sulfoxides	
dmtphllqne	Demethylphylloquinone	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
doco13ac	Erucic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
docoscoa	Docosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
doldp	Dolichyl diphosphate	Organic oxygen compounds	Organic oxoanionic compounds	Organic pyrophosphates
dolmanp	Dolichyl phosphate D-mannose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dolp	Dolichol phosphate	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
dopa	Dopamine	Benzenoids	Phenols	Benzenediols
doxrbcn	Doxorubicin	Phenylpropanoids and polyketides	Anthracyclines	
dpcoa	Dephospho-CoA	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
drib	Deoxyribose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dtbt	Dethiobiotin	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
dtdp	dTDP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dtdp4aaddg	dTDP-4-acetamido-4,6-dideoxy-D-galactose	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
dtdp4d6dg	dTDP-4-dehydro-6-deoxy-alpha-D-glucose	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
dtdpglu	DTDP-alpha-D-glucose(2-)	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
dtdprmn	Deoxythymidine diphosphate-l-rhamnose	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
dtmp	5-Thymidylic acid	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dtocophe	Delta-Tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
dttOX	Oxidized dithiothreitol	Organoheterocyclic compounds	Dithianes	
dttp	Thymidine 5'-triphosphate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dudp	dUDP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dump	dUMP	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
duri	Deoxyuridine	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine 2'-deoxyribonucleosides
dutp	Deoxyuridine triphosphate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
dxyl	1-Deoxy-D-xylulose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
dxyl5p	1-Deoxy-D-xylulose 5-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
e4hglu	Erythro-4-hydroxy-L-glutamate(1-)	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives
e4p	D-Erythrose 4-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
ebastine	Ebastine	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes
egly	N-Ethylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
eig3p	D-Erythro-imidazole-glycerol-phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
enter	Chymosin preparation, escherichia coli k-12	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
